Issuer Company	Symbol	Security Code	Stock Split Date	Ex Date	Price	CMP
Navkar Urbanstructure Ltd	NAVKARURB	531494	09-May-25	09-May-25	Rs 2/- to Rs 1/-	0.86
Shantai Industries Ltd	SHANTAI	512297	09-May-25	09-May-25	Rs 10/- to Rs 2/-	99.99
Rajasthan Tube Manufacturing Company Ltd	RAJTUBE	530253	08-May-25	08-May-25	Rs 10/- to Rs 1/-	12.98
Info Edge (India) Limited	NAUKRI	NAUKRI	07-May-25	07-May-25	Rs 10/- to Rs 2/-	938.5
United Polyfab Gujarat Limited	UNITEDPOLY	UNITEDPOLY	02-May-25	02-May-25	Rs 10/- to Rs 1/-	33.88
Ami Organics Ltd	AMIORG	543349	25-Apr-25	25-Apr-25	Rs 10/- to Rs 5/-	"2,920.00"
Ranjeet Mechatronics Ltd	RANJEET	541945	21-Apr-25	21-Apr-25	Rs 10/- to Rs 5/-	6.3
Akme Fintrade (India) Ltd	AFIL	544200	18-Apr-25	17-Apr-25	Rs 10/- to Rs 1/-	9.45
Kapil Raj Finance Ltd	KAPILRAJ	539679	15-Apr-25	15-Apr-25	Rs 10/- to Rs 1/-	2.9
Enbee Trade & Finance Ltd	ENBETRD	512441	11-Apr-25	11-Apr-25	Rs 10/- to Rs 1/-	0.4
Pervasive Commodities Ltd	PERVASIVE	517172	07-Apr-25	07-Apr-25	Rs 10/- to Rs 1/-	1.58
Optimus Finance Ltd	OPTIFIN	531254	21-Mar-25	21-Mar-25	Rs 10/- to Rs 1/-	15.32
Last Mile Enterprises Ltd	LASTMILE	526961	21-Mar-25	21-Mar-25	Rs 10/- to Rs 1/-	9.7
Shukra Pharmaceuticals Ltd	SHUKRAPHAR	524632	21-Mar-25	21-Mar-25	Rs 10/- to Rs 1/-	28.02
Softrak Venture Investment Ltd	SOFTRAKV	531529	21-Mar-25	21-Mar-25	Rs 10/- to Rs 1/-	1.75
Blue Pearl Agriventures Ltd	BPAGRI	514440	20-Mar-25	20-Mar-25	Rs 10/- to Rs 1/-	19.04
SIKA INTERPLANT SYSTEMS LTD	SIKA	523606	17-Mar-25	17-Mar-25	Rs 10/- to Rs 2/-	934.55
Shangar Decor Ltd	SHANGAR	540259	14-Mar-25	13-Mar-25	Rs 5/- to Rs 1/-	0.23
Shalimar Agencies Ltd	SAGL	539895	14-Mar-25	13-Mar-25	Rs 10/- to Rs 1/-	20.62
Mehai Technology Ltd	MEHAI	540730	14-Mar-25	13-Mar-25	Rs 10/- to Rs 1/-	1.4
IOL CHEMICALS & PHARMACEUTICALS LTD	IOLCP	524164	11-Mar-25	11-Mar-25	Rs 10/- to Rs 2/-	124.08
Pradhin Ltd	PRADHIN	530095	07-Mar-25	07-Mar-25	Rs 10/- to Rs 1/-	0.2
Mangalam Global Enterprise Ltd	MGEL	544273	04-Mar-25	04-Mar-25	Rs 2/- to Rs 1/-	13.21
COASTAL CORPORATION LTD	COASTCORP	501831	04-Mar-25	04-Mar-25	Rs 10/- to Rs 2/-	58.82
RDB REALTY & INFRASTRUCTURE LTD	RDBRIL	533285	28-Feb-25	28-Feb-25	Rs 10/- to Rs 1/-	26.45
OASIS SECURITIES LTD	OASISEC	512489	28-Feb-25	28-Feb-25	Rs 10/- to Rs 1/-	14.4
