"Exchange,Date,StartTime,EndTime,DayState"
"MCX,20220103,1700,2330,ON"
"MCX,20220109,1700,2330,ON"
"MCX,20220131,1700,2330,ON"
"MCX,20220105,1700,2330,ON"
"MCX,20220124,1700,2330,ON"
"MCX,20220126,1700,2330,ON"
"MCX,20220108,1700,2330,ON"
"NSE,20230126,,,OFF"
"NSE,20230107,,,OFF"
"NSE,20230130,,,OFF"
"NSE,20230104,,,OFF"
"NSE,20230107,,,OFF"
"NSE,20230114,,,OFF"
"NSE,20230101,,,OFF"
"NSE,20230128,,,OFF"
"NSE,20230115,,,OFF"
"NSE,20230119,,,OFF"
"NSE,20230102,,,OFF"
"NSE,20230124,,,OFF"
"NSE,20230114,,,OFF"
"NSE,20230127,,,OFF"
"NSE,20230125,,,OFF"
"BSE,20230126,,,OFF"
"BSE,20230107,,,OFF"
"BSE,20230130,,,OFF"
"BSE,20230104,,,OFF"
"BSE,20230107,,,OFF"
"BSE,20230114,,,OFF"
"BSE,20230101,,,OFF"
"BSE,20230128,,,OFF"
"BSE,20230115,,,OFF"
"BSE,20230119,,,OFF"
"BSE,20230102,,,OFF"
"BSE,20230124,,,OFF"
"BSE,20230114,,,OFF"
"BSE,20230127,,,OFF"
"BSE,20230125,,,OFF"
"CDS,20230126,,,OFF"
"CDS,20230107,,,OFF"
"CDS,20230122,,,OFF"
"CDS,20230130,,,OFF"
"CDS,20230104,,,OFF"
"CDS,20230107,,,OFF"
"CDS,20230114,,,OFF"
"CDS,20230101,,,OFF"
"CDS,20230105,,,OFF"
"CDS,20230128,,,OFF"
"CDS,20230115,,,OFF"
"CDS,20230116,,,OFF"
"CDS,20230119,,,OFF"
"CDS,20230128,,,OFF"
"CDS,20230102,,,OFF"
"CDS,20230124,,,OFF"
"CDS,20230114,,,OFF"
"CDS,20230127,,,OFF"
"CDS,20230125,,,OFF"
"MCX,20230126,,,OFF"
"MCX,20230107,,,OFF"
"MCX,20230130,,,OFF"
"MCX,20230104,,,OFF"
"MCX,20230107,,,OFF"
"MCX,20230114,,,OFF"
"MCX,20230101,,,OFF"
"MCX,20230128,,,OFF"
"MCX,20230115,,,OFF"
"MCX,20230119,,,OFF"
"MCX,20230102,,,OFF"
"MCX,20230124,,,OFF"
"MCX,20230114,,,OFF"
"MCX,20230127,,,OFF"
"MCX,20230125,,,OFF"
"MCX,20230107,1700,2330,ON"
"MCX,20230130,1700,2330,ON"
"MCX,20230104,1700,2330,ON"
"MCX,20230114,1700,2330,ON"
"MCX,20230101,1700,2330,ON"
"MCX,20230128,1700,2330,ON"
"MCX,20230119,1700,2330,ON"
"MCX,20230124,1700,2330,ON"
"MCX,20230114,1700,2330,ON"
"MCX,20230127,1700,2330,ON"
"NSE,20240126,,,OFF"
"NSE,20240108,,,OFF"
"NSE,20240125,,,OFF"
"NSE,20240129,,,OFF"
"NSE,20240111,,,OFF"
"NSE,20240117,,,OFF"
"NSE,20240101,,,OFF"
"NSE,20240117,,,OFF"
"NSE,20240117,,,OFF"
"NSE,20240115,,,OFF"
"NSE,20240102,,,OFF"
"NSE,20240101,,,OFF"
"NSE,20240115,,,OFF"
"NSE,20240125,,,OFF"
"BSE,20240126,,,OFF"
"BSE,20240108,,,OFF"
"BSE,20240125,,,OFF"
"BSE,20240129,,,OFF"
"BSE,20240111,,,OFF"
"BSE,20240117,,,OFF"
"BSE,20240101,,,OFF"
"BSE,20240117,,,OFF"
"BSE,20240117,,,OFF"
"BSE,20240115,,,OFF"
"BSE,20240102,,,OFF"
"BSE,20240101,,,OFF"
"BSE,20240115,,,OFF"
"BSE,20240125,,,OFF"
"CDS,20240122,,,OFF"
"CDS,20240126,,,OFF"
"CDS,20240119,,,OFF"
"CDS,20240108,,,OFF"
"CDS,20240125,,,OFF"
"CDS,20240129,,,OFF"
"CDS,20240101,,,OFF"
"CDS,20240109,,,OFF"
"CDS,20240111,,,OFF"
"CDS,20240117,,,OFF"
"CDS,20240101,,,OFF"
"CDS,20240123,,,OFF"
"CDS,20240117,,,OFF"
"CDS,20240117,,,OFF"
"CDS,20240115,,,OFF"
"CDS,20240102,,,OFF"
"CDS,20240101,,,OFF"
"CDS,20240115,,,OFF"
"CDS,20240125,,,OFF"
"MCX,20240101,,,OFF"
"MCX,20240126,,,OFF"
"MCX,20240108,,,OFF"
"MCX,20240125,,,OFF"
"MCX,20240129,,,OFF"
"MCX,20240111,,,OFF"
"MCX,20240117,,,OFF"
"MCX,20240101,,,OFF"
"MCX,20240117,,,OFF"
"MCX,20240117,,,OFF"
"MCX,20240115,,,OFF"
"MCX,20240102,,,OFF"
"MCX,20240101,,,OFF"
"MCX,20240115,,,OFF"
"MCX,20240125,,,OFF"
"MCX,20240101,0900,1700,ON"
"MCX,20240108,1700,2330,ON"
"MCX,20240125,1700,2330,ON"
"MCX,20240111,1700,2330,ON"
"MCX,20240117,1700,2330,ON"
"MCX,20240101,1700,2330,ON"
"MCX,20240117,1700,2330,ON"
"MCX,20240117,1700,2330,ON"
"MCX,20240101,1700,2330,ON"
"MCX,20240115,1700,2330,ON"
"NSE,20250126,,,OFF"
"NSE,20250114,,,OFF"
"NSE,20250131,,,OFF"
"NSE,20250110,,,OFF"
"NSE,20250114,,,OFF"
"NSE,20250118,,,OFF"
"NSE,20250101,,,OFF"
"NSE,20250115,,,OFF"
"NSE,20250127,,,OFF"
"NSE,20250102,,,OFF"
"NSE,20250121,,,OFF"
"NSE,20250122,,,OFF"
"NSE,20250105,,,OFF"
"NSE,20250125,,,OFF"
"BSE,20250126,,,OFF"
"BSE,20250114,,,OFF"
"BSE,20250131,,,OFF"
