Issuer Company	Symbol	Security Code	Bonus record Date	Ex Date	Bonus Ratio	CMP
eClerx Services Ltd	ECLERX	532927	13-Mar-26	13-Mar-26	01:01	"1,586.80"
Frontier Springs Ltd	FRONTSP	522195	13-Mar-26	13-Mar-26	02:01	"1,626.15"
Macfos Ltd	ROBU	543787	10-Mar-26	10-Mar-26	01:10	"1,131.15"
Cupid Ltd	CUPID	530843	09-Mar-26	09-Mar-26	04:01	124.65
Silver Touch Technologies Ltd	SILVERTUC	543525	06-Mar-26	06-Mar-26	01:01	146.15
LKP Finance Ltd	LKPFIN	507912	06-Mar-26	06-Mar-26	04:01	189.5
Accedere Ltd	ACCEDERE	531533	06-Mar-26	06-Mar-26	01:10	58.49
Infobeans Technologies Ltd	INFOBEAN	543644	27-Feb-26	27-Feb-26	03:01	155.3
Bazel International Ltd	BAZELINTER	539946	19-Feb-26	18-Feb-26	01:01	19.97
Riddhi Steel and Tube Ltd	RSTL	540082	17-Feb-26	17-Feb-26	01:02	260
Delphi World Money Ltd	DELPHIFX	533452	14-Feb-26	13-Feb-26	02:01	10.44
Axita Cotton Ltd	AXITA	542285	13-Feb-26	13-Feb-26	01:10	7.8
Jonjua Overseas Ltd	JONJUA	542446	23-Jan-26	23-Jan-26	05:40	3.76
Best Agrolife Ltd	BESTAGRO	539660	16-Jan-26	16-Jan-26	01:02	18.15
Authum Investment & Infrastructure Ltd	AIIL	539177	13-Jan-26	13-Jan-26	04:01	500.4
Antariksh Industries Ltd	ANTARIKSH	501270	09-Jan-26	09-Jan-26	01:10	2.57
Orient Technologies Ltd	ORIENTTECH	544235	05-Jan-26	05-Jan-26	01:10	279.2
Magnanimous Trade & finance Ltd	MAGANTR	512377	02-Jan-26	02-Jan-26	23:01	5.64
